"","Ensembl.ID","HGNC.symbol","is.CGC","is.BRCA_CGC"
"1","ENSG00000121879","PIK3CA",TRUE,TRUE
"2","ENSG00000039068","CDH1",TRUE,TRUE
"3","ENSG00000141027","NCOR1",TRUE,TRUE
"4","ENSG00000127603","MACF1",FALSE,FALSE
"5","ENSG00000081479","LRP2",FALSE,FALSE
"6","ENSG00000085224","ATRX",TRUE,FALSE
"7","ENSG00000196712","NF1",TRUE,FALSE
"8","ENSG00000166147","FBN1",FALSE,FALSE
"9","ENSG00000171862","PTEN",TRUE,FALSE
"10","ENSG00000111642","CHD4",TRUE,FALSE
"11","ENSG00000065559","MAP2K4",TRUE,TRUE
"12","ENSG00000142208","AKT1",TRUE,TRUE
"13","ENSG00000104517","UBR5",TRUE,FALSE
"14","ENSG00000149311","ATM",TRUE,FALSE
"15","ENSG00000178209","PLEC",FALSE,FALSE
"16","ENSG00000178104","PDE4DIP",TRUE,FALSE
"17","ENSG00000118058","KMT2A",TRUE,FALSE
"18","ENSG00000130396","AFDN",TRUE,FALSE
"19","ENSG00000278540","ACACA",FALSE,FALSE
"20","ENSG00000142798","HSPG2",FALSE,FALSE
"21","ENSG00000137076","TLN1",FALSE,FALSE
"22","ENSG00000167522","ANKRD11",FALSE,FALSE
"23","ENSG00000196367","TRRAP",TRUE,FALSE
"24","ENSG00000159216","RUNX1",TRUE,FALSE
"25","ENSG00000134250","NOTCH2",TRUE,FALSE
"26","ENSG00000029534","ANK1",TRUE,FALSE
"27","ENSG00000001626","CFTR",FALSE,FALSE
"28","ENSG00000138162","TACC2",FALSE,FALSE
"29","ENSG00000142949","PTPRF",FALSE,FALSE
"30","ENSG00000197386","HTT",FALSE,FALSE
"31","ENSG00000225830","ERCC6",FALSE,FALSE
"32","ENSG00000150995","ITPR1",FALSE,FALSE
"33","ENSG00000188153","COL4A5",FALSE,FALSE
"34","ENSG00000081052","COL4A4",FALSE,FALSE
"35","ENSG00000064012","CASP8",TRUE,TRUE
"36","ENSG00000131626","PPFIA1",FALSE,FALSE
"37","ENSG00000147255","IGSF1",FALSE,FALSE
"38","ENSG00000018236","CNTN1",FALSE,FALSE
"39","ENSG00000112282","MED23",FALSE,FALSE
"40","ENSG00000170776","AKAP13",FALSE,FALSE
"41","ENSG00000197081","IGF2R",FALSE,FALSE
"42","ENSG00000100393","EP300",TRUE,TRUE
"43","ENSG00000102974","CTCF",TRUE,TRUE
"44","ENSG00000132694","ARHGEF11",FALSE,FALSE
"45","ENSG00000153201","RANBP2",TRUE,FALSE
"46","ENSG00000178568","ERBB4",TRUE,FALSE
"47","ENSG00000198753","PLXNB3",FALSE,FALSE
"48","ENSG00000167306","MYO5B",FALSE,FALSE
"49","ENSG00000197694","SPTAN1",FALSE,FALSE
"50","ENSG00000114127","XRN1",FALSE,FALSE
"51","ENSG00000049759","NEDD4L",FALSE,FALSE
"52","ENSG00000196313","POM121",FALSE,FALSE
"53","ENSG00000169855","ROBO1",FALSE,FALSE
"54","ENSG00000183454","GRIN2A",TRUE,FALSE
"55","ENSG00000155511","GRIA1",FALSE,FALSE
"56","ENSG00000132849","PATJ",FALSE,FALSE
"57","ENSG00000151276","MAGI1",FALSE,FALSE
"58","ENSG00000130985","UBA1",FALSE,FALSE
"59","ENSG00000196083","IL1RAP",FALSE,FALSE
"60","ENSG00000197535","MYO5A",TRUE,FALSE
"61","ENSG00000182752","PAPPA",FALSE,FALSE
"62","ENSG00000106571","GLI3",FALSE,FALSE
"63","ENSG00000100852","ARHGAP5",TRUE,FALSE
"64","ENSG00000124151","NCOA3",FALSE,FALSE
"65","ENSG00000112851","ERBIN",FALSE,FALSE
